label,trial,available,anomaly,decode_cycles,decode_cpi,decode_exc,decode_lsu,decode_fold,target_coeff_cycles,coeff_cycles_min,coeff_cycles_max,coeff_cycles_sum
baseline,1,3,0,14619,252,0,14,0,19,19,23,5884
baseline,2,3,0,14619,252,0,14,0,19,19,23,5884
baseline,3,3,0,14619,252,0,14,0,19,19,23,5884
baseline,4,3,0,14619,252,0,14,0,19,19,23,5884
baseline,5,3,0,14619,252,0,14,0,19,19,23,5884
baseline,6,3,0,14619,252,0,14,0,19,19,23,5884
baseline,7,3,0,14619,252,0,14,0,19,19,23,5884
baseline,8,3,0,14619,252,0,14,0,19,19,23,5884
baseline,9,3,0,14619,252,0,14,0,19,19,23,5884
baseline,10,3,0,14619,252,0,14,0,19,19,23,5884
baseline,11,3,0,14619,252,0,14,0,19,19,23,5884
baseline,12,3,0,14619,252,0,14,0,19,19,23,5884
baseline,13,3,0,14619,252,0,14,0,19,19,23,5884
baseline,14,3,0,14619,252,0,14,0,19,19,23,5884
baseline,15,3,0,14619,252,0,14,0,19,19,23,5884
baseline,16,3,0,14619,252,0,14,0,19,19,23,5884
baseline,17,3,0,14619,252,0,14,0,19,19,23,5884
baseline,18,3,0,14619,252,0,14,0,19,19,23,5884
baseline,19,3,0,14619,252,0,14,0,19,19,23,5884
baseline,20,3,0,14619,252,0,14,0,19,19,23,5884
attack,1,3,0,13857,0,0,14,0,18,18,22,5628
attack,2,3,0,13857,0,0,14,0,18,18,22,5628
attack,3,3,0,13857,0,0,14,0,18,18,22,5628
attack,4,3,0,13857,0,0,14,0,18,18,22,5628
attack,5,3,0,13857,0,0,14,0,18,18,22,5628
attack,6,3,0,13857,0,0,14,0,18,18,22,5628
attack,7,3,0,13857,0,0,14,0,18,18,22,5628
attack,8,3,0,13857,0,0,14,0,18,18,22,5628
attack,9,3,0,13857,0,0,14,0,18,18,22,5628
attack,10,3,0,13857,0,0,14,0,18,18,22,5628
attack,11,3,0,13857,0,0,14,0,18,18,22,5628
attack,12,3,0,13857,0,0,14,0,18,18,22,5628
attack,13,3,0,13857,0,0,14,0,18,18,22,5628
attack,14,3,0,13857,0,0,14,0,18,18,22,5628
attack,15,3,0,13857,0,0,14,0,18,18,22,5628
attack,16,3,0,13857,0,0,14,0,18,18,22,5628
attack,17,3,0,13857,0,0,14,0,18,18,22,5628
attack,18,3,0,13857,0,0,14,0,18,18,22,5628
attack,19,3,0,13857,0,0,14,0,18,18,22,5628
attack,20,3,0,13857,0,0,14,0,18,18,22,5628
